site,date,pm10,pm25
Traralgon,2020-01-01,14.23,5.87
Traralgon,2020-01-02,15.94,6.21
Traralgon,2020-01-03,112.62,85.58
Traralgon,2020-01-04,77.13,93.91
Traralgon,2020-01-06,161.02,210.54
Traralgon,2020-01-07,59.53,85.31
Traralgon,2020-01-08,8.75,15.68
Traralgon,2020-01-09,19.25,10.02
Traralgon,2020-01-10,38.04,22.55
Traralgon,2020-01-11,16.5,5.7
Traralgon,2020-01-12,11.32,4.65
Traralgon,2020-01-13,191.37,53.53
Traralgon,2020-01-14,224.92,186.42
Traralgon,2020-01-15,248.72,244.36
Traralgon,2020-01-16,14.47,21.61
Traralgon,2020-01-17,14.64,7.42
Traralgon,2020-01-18,22.86,10.03
Traralgon,2020-01-19,17.36,13.68
Traralgon,2020-01-20,0.67,2.21
Traralgon,2020-01-21,15.03,6.7
Traralgon,2020-01-22,33.09,7.36
Traralgon,2020-01-23,8.87,5.35
Traralgon,2020-01-24,17.99,5.91
Traralgon,2020-01-25,17.09,6.04
Traralgon,2020-01-26,19.24,9.63
Traralgon,2020-01-27,16.51,4.79
Traralgon,2020-01-28,17.98,6.76
Traralgon,2020-01-29,18.9,5.75
Traralgon,2020-01-30,41.98,6.71
Traralgon,2020-01-31,57.15,24.75
Traralgon,2020-02-01,25.02,10.72
Traralgon,2020-02-02,9.7,2.55
Traralgon,2020-02-03,14.43,4.76
Traralgon,2020-02-04,18.72,5.7
Traralgon,2020-02-05,20.82,7.7
Traralgon,2020-02-06,69.99,32.47
Traralgon,2020-02-07,50.68,34.21
Traralgon,2020-02-08,32.46,9.25
Traralgon,2020-02-09,20.78,8.31
Traralgon,2020-02-10,14.63,4.34
Traralgon,2020-02-11,9.23,3.86
Traralgon,2020-02-12,10.28,5.31
Traralgon,2020-02-13,6.23,2.66
Traralgon,2020-02-14,18.21,4.19
Traralgon,2020-02-17,17.5,5.26
Traralgon,2020-02-18,12.71,4.38
Traralgon,2020-02-19,10.27,3.7
Traralgon,2020-02-20,12.42,5.13
Traralgon,2020-02-21,8.82,2.91
Traralgon,2020-02-22,13.65,4.25
Traralgon,2020-02-23,19.7,6.03
Traralgon,2020-02-24,18.91,8.14
Traralgon,2020-02-25,16.25,7.71
Traralgon,2020-02-26,9.68,2.98
Traralgon,2020-02-27,13.92,4.35
Traralgon,2020-02-28,8.31,4.18
Traralgon,2020-02-29,10.62,4.54
