latitude,longitude,fire_count,total_frp,avg_confidence
-21.5,116.5,32,2165.4,83.8
-22.5,128,32,3749.3,86.5
-22,140,32,1830.1,74.8
-14.5,130,31,994.3,70.4
-25.5,152.5,31,1612.2,73.6
-28.5,150,31,581.2,71.3
-27,148,31,3078.1,84.9
-12.5,133.5,31,1435.9,74.8
-14,136,31,1090.2,71.8
-27.5,124.5,31,4985.9,94.9
-18,138,31,1752.2,80.3
-28,151,31,2003.8,82.7
-30.5,119.5,31,4527.0,83.4
-15,143,31,1365.4,79.7
-20.5,136,31,1914.3,81.8
-33,146.5,30,867.6,73.4
-13.5,134,30,1436.4,77.8
-30.5,148.5,30,698.3,70.0
-41,147,30,1477.1,79.2
-28,123.5,30,1412.7,82.5
-27,148.5,30,1123.8,77.9
-24.5,129.5,30,2614.8,83.8
-21.5,134,30,1521.2,83.2
-35.5,140,30,6367.2,84.6
-24,128,30,2028.3,85.7
-24.5,127,30,3176.6,93.5
-17,139,29,1326.1,72.1
-16.5,137,29,1676.4,81.9
-20,121.5,29,2139.2,83.9
-14,126.5,29,934.0,74.3
-19,123,29,4397.4,87.1
-17.5,125,29,1196.8,81.3
-19.5,122,29,10030.3,92.4
-16.5,144,29,1388.3,74.2
-22.5,119,29,968.4,64.9
-31.5,120,29,3408.1,84.3
-26.5,147,28,922.6,73.4
-13,142.5,28,890.5,72.4
-22,119.5,28,2151.1,85.7
-13.5,141.5,28,1441.6,78.8
-22,116,28,890.5,79.5
-30.5,119,28,4089.7,85.0
-22,145.5,28,6988.9,86.1
-15,134.5,27,904.0,78.2
-12.5,141.5,27,1046.4,82.9
-22.5,127,27,2235.8,81.1
-30,124.5,27,14298.5,88.5
-27,131,27,1513.3,84.4
-30,120,27,12573.1,85.6
-21.5,121,27,2377.2,78.6
-16,135.5,27,1533.0,77.6
-20.5,122.5,27,1397.7,88.2
-28.5,150.5,26,907.6,77.2
-14.5,129.5,26,2006.2,80.0
-23,142.5,26,2202.8,86.4
-20.5,119.5,26,1396.0,80.4
-21.5,120,26,1295.4,86.8
-20.5,123.5,26,4515.1,91.7
-26,147,25,627.3,75.5
-15,141.5,25,1217.7,77.8
-14.5,137,25,1295.1,77.2
-25,146.5,25,626.4,75.4
-33,151.5,25,1674.8,78.6
-29,126.5,25,2847.1,89.0
-23,117,25,1747.3,82.9
-30,119.5,25,5541.9,87.7
-21,135.5,25,2072.1,80.7
-25.5,152,24,1102.1,75.9
-12.5,143.5,24,1003.1,81.0
-12,135,24,885.3,74.6
-35,146,24,569.8,70.6
-28,147.5,24,900.0,76.5
-23,115.5,24,2124.7,82.3
-18.5,127,24,3564.1,81.4
-18,141,24,996.1,84.7
-17.5,142,24,8075.4,88.3
-22.5,147,24,3464.3,87.3
-29.5,148.5,23,1519.9,76.4
-32.5,146,23,700.2,70.8
-31.5,147,23,488.0,70.2
-26.5,153,23,4649.4,88.4
-27.5,149.5,23,645.2,71.2
-31.5,116,23,985.5,77.0
-26.5,146.5,23,1304.6,80.0
-17,137,23,1124.1,76.5
-20,147,23,901.8,68.6
-24.5,124.5,23,1013.9,79.5
-21.5,140.5,23,905.4,84.7
-28,150.5,22,483.9,70.7
-42.5,147,22,1505.0,74.1
-36,143.5,22,392.7,72.0
-26,148.5,22,476.3,70.2
-31.5,150,22,913.4,74.1
-15,135,22,1200.7,72.0
-32,146,22,559.5,68.0
-42.5,145.5,22,1707.7,87.8
-33.5,123,22,2217.9,78.4
-15,144.5,22,1226.2,73.6
-27,124,22,6028.4,90.1
-20,120.5,22,2133.3,91.8
-23.5,131.5,22,2575.9,85.1
-26.5,121.5,22,938.5,80.7
-33,121,22,3155.2,87.7
-27.5,120.5,22,2038.4,90.3
-34.5,137.5,22,2387.1,94.0
-30.5,149,21,1178.4,75.6
-28.5,148.5,21,1151.2,83.4
-26.5,148,21,598.6,80.4
-18.5,127.5,21,1868.4,80.7
-24,151.5,21,757.3,69.1
-20,145,21,734.4,80.7
-23,116,21,3531.2,84.2
-34.5,116.5,21,984.6,79.7
-14.5,126,21,1069.7,75.1
-31.5,121.5,21,586.0,73.0
-30,118,21,4801.8,82.5
-20.5,127,21,3215.9,90.9
-38,148.5,21,1174.5,86.9
-24,148.5,20,662.7,80.6
-33,147,20,354.7,66.0
-34,116.5,20,981.1,75.0
-20,147.5,20,388.8,74.5
-19.5,124,20,2423.6,83.3
-27,123.5,20,2047.1,89.1
-14,127.5,20,609.1,71.9
-21.5,123.5,20,1682.1,86.7
-28,120,20,1218.0,84.0
-24.5,126,20,3515.3,89.0
-22,127,20,1796.2,82.6
-30.5,133,20,2778.9,86.3
-24,129,20,2899.4,78.5
-34,122.5,19,1388.1,80.3
-12,136,19,786.7,80.4
-20.5,117,19,243.8,71.3
-27.5,147,19,356.0,72.0
-15,130,19,870.7,79.5
-31,145.5,19,474.4,72.1
-20,124,19,1762.7,86.3
-24,146.5,19,468.7,72.1
-24,127,19,1281.4,80.9
-13.5,131.5,19,840.7,76.3
-18.5,123,19,2335.0,79.3
